frame,zone,x,y
2,Restricted Area 1,871,384
3,Restricted Area 1,845,380
9,Restricted Area 1,776,385
10,Restricted Area 1,779,386
11,Restricted Area 1,748,384
12,Restricted Area 1,740,378
13,Restricted Area 1,730,376
14,Restricted Area 1,727,374
15,Restricted Area 1,728,372
16,Restricted Area 1,727,374
17,Restricted Area 1,725,372
18,Restricted Area 1,721,366
19,Restricted Area 1,707,358
21,Restricted Area 1,702,357
22,Restricted Area 1,706,354
23,Restricted Area 1,702,353
25,Restricted Area 1,746,344
28,Restricted Area 1,746,325
31,Restricted Area 1,754,310
32,Restricted Area 1,770,305
34,Restricted Area 1,793,299
35,Restricted Area 1,798,305
38,Restricted Area 1,822,302
39,Restricted Area 1,819,299
40,Restricted Area 1,818,298
41,Restricted Area 1,828,306
42,Restricted Area 1,828,303
43,Restricted Area 1,822,301
47,Restricted Area 1,831,315
51,Restricted Area 1,806,304
61,Restricted Area 1,785,305
63,Restricted Area 1,783,303
65,Restricted Area 1,796,303
66,Restricted Area 1,803,301
68,Restricted Area 1,813,302
69,Restricted Area 1,823,307
70,Restricted Area 1,824,294
72,Restricted Area 1,807,295
87,Restricted Area 1,794,294
94,Restricted Area 1,827,313
97,Restricted Area 1,840,309
98,Restricted Area 1,846,316
101,Restricted Area 1,853,318
102,Restricted Area 1,845,312
